Date,Open,High,Low,Close,Adj Close,Volume
2004-02-16,8.610000,9.300000,8.610000,9.000000,6.059700,2205600
2004-02-23,9.000000,9.485000,8.850000,9.325000,6.278524,3379400
2004-03-01,9.325000,9.370000,8.840000,9.050000,6.093367,1772000
2004-03-08,9.025000,9.070000,8.430000,8.950000,6.026037,1814400
2004-03-15,8.900000,8.900000,8.255000,8.535000,5.746617,2555800
2004-03-22,8.555000,8.770000,8.245000,8.740000,5.884643,2510400
2004-03-29,9.000000,9.245000,8.865000,9.180000,6.180896,2071600
2004-04-05,9.180000,9.365000,9.070000,9.210000,6.201095,1186200
2004-04-12,9.200000,9.315000,8.730000,9.110000,6.133764,1220200
2004-04-19,9.110000,9.350000,8.985000,9.075000,6.110199,1233600
2004-04-26,9.150000,9.250000,8.690000,8.805000,5.928408,1419800
2004-05-03,8.785000,9.225000,8.775000,8.800000,5.925042,1629400
2004-05-10,8.750000,8.935000,8.405000,8.535000,5.746617,1941400
2004-05-17,8.495000,8.500000,7.575000,7.700000,5.184410,4354200
2004-05-24,7.750000,7.990000,7.640000,7.810000,5.258473,2810400
2004-05-31,7.810000,7.920000,7.605000,7.795000,5.248375,3750200
2004-06-07,7.900000,8.140000,7.855000,7.910000,5.325805,2474200
2004-06-14,7.875000,7.910000,7.510000,7.515000,5.059850,2849800
2004-06-21,7.520000,7.620000,7.235000,7.550000,5.083415,4601400
2004-06-28,7.550000,7.665000,7.335000,7.430000,5.002619,1740800
2004-07-05,7.435000,7.525000,7.185000,7.400000,4.982421,1842000
2004-07-12,7.350000,7.675000,7.265000,7.525000,5.066583,2860200
2004-07-19,7.505000,7.960000,7.250000,7.280000,4.901624,2576800
2004-07-26,7.325000,7.750000,7.285000,7.700000,5.184410,1517400
2004-08-02,7.660000,7.865000,7.235000,7.500000,5.049752,1960000
2004-08-09,7.500000,7.750000,7.330000,7.500000,5.049752,1309000
2004-08-16,7.450000,8.810000,7.450000,8.500000,5.723052,4366200
2004-08-23,8.525000,8.600000,8.305000,8.495000,5.719685,1221000
2004-08-30,8.470000,8.675000,8.350000,8.630000,5.810580,1493600
2004-09-06,8.655000,8.745000,8.500000,8.620000,5.803847,646400
2004-09-13,8.620000,9.375000,8.590000,9.375000,6.312188,1622600
2004-09-20,9.150000,9.260000,8.880000,9.125000,6.143862,1929600
2004-09-27,9.100000,9.465000,8.825000,9.460000,6.369420,2150200
2004-10-04,9.500000,10.230000,9.100000,9.360000,6.302089,6307400
2004-10-11,9.405000,9.720000,9.165000,9.545000,6.426651,3435600
2004-10-18,9.525000,9.810000,9.335000,9.635000,6.487247,2078000
2004-10-25,9.585000,10.110000,9.490000,9.795000,6.594975,2963000
2004-11-01,9.800000,10.840000,9.800000,10.765000,7.248077,4454800
2004-11-08,11.400000,11.755000,10.335000,11.750000,7.911276,11650000
2004-11-15,11.450000,11.580000,10.235000,10.270000,6.914793,14192600
2004-11-22,10.250000,10.890000,9.845000,10.850000,7.305308,8401600
2004-11-29,11.000000,11.000000,10.355000,10.500000,7.069650,4835400
2004-12-06,10.525000,10.835000,10.225000,10.825000,7.288474,5304200
2004-12-13,10.875000,10.925000,10.430000,10.575000,7.120149,3637600
2004-12-20,10.595000,11.010000,10.340000,10.730000,7.224511,3021600
2004-12-27,10.855000,11.300000,10.630000,11.180000,7.527497,2835400
2005-01-03,11.475000,11.475000,9.375000,9.775000,6.581508,11662000
2005-01-10,9.705000,9.800000,9.430000,9.525000,6.413183,6017400
2005-01-17,9.530000,9.795000,9.475000,9.550000,6.430016,3390800
2005-01-24,9.545000,9.625000,9.280000,9.400000,6.329021,3531400
2005-01-31,9.450000,10.030000,9.440000,9.830000,6.618539,3590200
2005-02-07,9.805000,9.825000,9.395000,9.575000,6.446850,2317000
2005-02-14,9.595000,9.960000,9.535000,9.765000,6.574776,2353600
2005-02-21,9.765000,9.780000,9.265000,9.615000,6.473781,1606200
2005-02-28,9.600000,10.345000,9.600000,10.345000,6.965291,2785000
2005-03-07,10.375000,10.525000,10.080000,10.145000,6.830630,2286200
2005-03-14,9.985000,10.675000,9.800000,10.510000,7.076385,4619600
2005-03-21,10.510000,11.475000,9.700000,11.275000,7.591459,8823800
2005-03-28,11.530000,11.810000,10.780000,10.885000,7.328871,4705000
2005-04-04,10.925000,11.195000,10.715000,10.890000,7.332240,3016800
2005-04-11,10.925000,11.035000,10.370000,10.805000,7.275009,3000800
2005-04-18,10.700000,12.850000,10.400000,11.825000,7.961774,23906600
2005-04-25,11.830000,12.465000,11.825000,12.305000,8.284955,7959600
2005-05-02,12.350000,13.100000,12.310000,12.915000,8.695670,5872000
2005-05-09,12.875000,13.045000,12.600000,12.745000,8.581212,5296400
2005-05-16,12.825000,14.090000,12.695000,14.010000,9.432936,5329600
2005-05-23,14.100000,15.565000,14.095000,14.935000,10.055737,11734800
2005-05-30,14.975000,15.795000,14.440000,15.540000,10.463083,7480400
2005-06-06,15.600000,16.549999,15.355000,16.385000,11.032023,12708200
2005-06-13,16.415001,17.150000,15.730000,16.535000,11.133018,7531000
2005-06-20,16.535000,16.545000,15.900000,16.049999,10.806467,5698200
2005-06-27,16.100000,16.580000,15.775000,16.405001,11.045491,4387000
2005-07-04,16.125000,17.605000,15.985000,17.580000,11.836617,4729200
2005-07-11,17.825001,18.084999,17.445000,17.594999,11.846715,5775600
2005-07-18,17.590000,17.740000,17.120001,17.219999,11.594226,4355800
2005-07-25,17.200001,17.764999,16.410000,17.174999,11.563929,6359800
2005-08-01,17.275000,17.400000,15.850000,16.100000,10.840130,5323200
2005-08-08,16.125000,16.745001,15.375000,15.700000,10.570811,7278600
2005-08-15,15.900000,16.745001,14.300000,16.490000,11.102718,16976000
2005-08-22,16.990000,17.570000,16.764999,17.004999,11.449467,9035000
2005-08-29,16.799999,17.115000,16.350000,16.915001,11.388871,5472400
2005-09-05,17.125000,18.375000,17.065001,18.070000,12.166532,5983000
2005-09-12,18.100000,19.205000,17.625000,18.010000,12.126135,6355800
2005-09-19,18.110001,18.290001,16.075001,16.900000,11.378774,8898800
2005-09-26,17.000000,17.170000,15.325000,15.735000,10.594377,13176400
2005-10-03,15.880000,16.475000,15.240000,15.350000,10.335155,24532200
2005-10-10,15.525000,15.800000,14.975000,15.475000,10.419319,15901600
2005-10-17,15.475000,17.410000,15.475000,17.045000,11.476399,13536800
2005-10-24,17.250000,18.700001,16.344999,17.240000,11.607695,15462400
2005-10-31,17.325001,18.629999,17.325001,18.190001,12.247334,10732400
2005-11-07,18.410000,18.715000,17.820000,17.955000,12.089102,8161000
2005-11-14,17.940001,18.500000,17.405001,18.135000,12.210299,14513400
2005-11-21,18.405001,19.094999,17.700001,18.270000,12.301192,21150400
2005-11-28,18.400000,18.690001,16.299999,17.600000,11.850083,31509800
2005-12-05,17.625000,17.825001,16.780001,16.975000,11.429271,10489000
2005-12-12,17.150000,17.205000,15.655000,15.770000,10.617943,19959200
2005-12-19,15.785000,15.925000,15.100000,15.315000,10.311590,15647200
2005-12-26,15.350000,16.100000,15.175000,15.910000,10.712205,10047800
2006-01-02,15.910000,19.385000,15.575000,19.260000,12.967761,30442800
2006-01-09,18.754999,19.680000,18.555000,19.170000,12.907166,16332400
2006-01-16,19.000000,19.450001,18.850000,19.059999,12.833100,7537400
2006-01-23,19.000000,20.549999,18.775000,19.570000,13.176483,9287000
2006-01-30,19.549999,21.785000,19.475000,21.285000,14.331196,16862400
2006-02-06,21.285000,21.639999,19.924999,20.240000,13.627598,9276000
2006-02-13,20.240000,20.965000,19.790001,20.575001,13.853152,7559600
2006-02-20,20.500000,20.975000,19.629999,20.025000,13.482833,4482000
2006-02-27,20.000000,20.635000,19.775000,20.500000,13.802650,6484600
2006-03-06,20.120001,20.799999,18.629999,19.400000,13.062021,6637400
2006-03-13,19.400000,20.740000,19.400000,20.549999,13.836315,9579400
2006-03-20,20.475000,23.570000,20.260000,23.405001,15.758590,17119000
2006-03-27,23.299999,23.965000,23.135000,23.570000,15.869678,9439000
2006-04-03,23.570000,24.730000,23.115000,24.485001,16.485760,8810400
2006-04-10,24.495001,24.840000,23.375000,23.430000,15.775422,9226000
2006-04-17,23.400000,23.950001,22.969999,23.495001,15.819186,6540400
2006-04-24,23.424999,23.965000,23.049999,23.600000,15.889885,8240800
2006-05-01,23.650000,24.254999,23.250000,24.110001,16.233271,10870600
2006-05-08,24.000000,24.135000,21.875000,21.975000,14.795772,7504800
2006-05-15,21.625000,23.855000,20.955000,22.485001,15.139156,22177200
2006-05-22,22.129999,22.400000,20.620001,21.790001,14.671210,11104200
2006-05-29,21.670000,22.200001,21.065001,21.715000,14.620716,5846600
2006-06-05,21.615000,21.700001,19.500000,20.700001,13.937312,12395400
2006-06-12,20.709999,20.790001,17.934999,19.715000,13.274111,22814600
2006-06-19,19.715000,19.730000,18.055000,18.834999,12.681610,15359400
2006-06-26,18.870001,21.000000,18.125000,21.000000,14.139300,19058000
2006-07-03,20.235001,20.250000,18.975000,19.040001,12.819635,8575000
2006-07-10,19.075001,19.980000,18.075001,19.469999,13.109154,20076800
2006-07-17,19.450001,20.665001,18.745001,18.934999,12.748940,13603000
2006-07-24,19.000000,21.260000,19.000000,21.110001,14.213361,11638800
2006-07-31,21.110001,22.924999,20.045000,22.150000,14.913597,13276200
2006-08-07,22.100000,23.500000,21.545000,23.225000,15.637397,10448000
2006-08-14,23.424999,23.650000,21.500000,22.215000,14.957362,20032400
2006-08-21,21.985001,22.184999,20.639999,20.930000,14.092170,14186600
2006-08-28,20.924999,21.990000,20.920000,21.629999,14.563482,8373000
2006-09-04,21.639999,22.580000,21.209999,22.375000,15.065088,9610800
2006-09-11,22.385000,24.000000,22.059999,23.825001,16.041370,14347400
2006-09-18,23.775000,24.875000,22.355000,23.565001,15.866320,21415400
2006-09-25,23.750000,24.370001,23.105000,23.139999,15.580167,15225600
2006-10-02,23.350000,24.375000,22.820000,23.805000,16.027908,8709600
2006-10-09,23.750000,26.325001,23.480000,25.860001,17.411539,17622400
2006-10-16,26.025000,26.094999,25.145000,25.625000,17.253317,7275400
2006-10-23,25.500000,26.365000,24.684999,25.820000,17.384607,10234600
2006-10-30,25.700001,26.900000,24.504999,26.760000,18.017511,13368800
2006-11-06,26.875000,27.240000,25.805000,26.145000,17.603430,11422200
2006-11-13,26.205000,26.920000,25.620001,25.870001,17.418276,13214200
2006-11-20,26.635000,28.594999,24.870001,28.325001,19.071228,23510000
2006-11-27,28.325001,28.400000,27.080000,27.790001,18.711012,14791200
2006-12-04,27.700001,29.209999,27.700001,28.895000,19.455008,10364200
2006-12-11,28.889999,28.895000,27.865000,28.299999,19.054390,8543000
2006-12-18,28.424999,28.615000,26.940001,27.625000,18.599916,11793600
2006-12-25,27.450001,28.120001,27.200001,27.555000,18.552780,4690200
2007-01-01,27.555000,28.049999,26.670000,27.745001,18.680712,11520600
2007-01-08,27.750000,29.110001,27.059999,28.820000,19.404509,10960000
2007-01-15,28.900000,29.205000,27.785000,28.014999,18.862505,5356600
2007-01-22,27.959999,28.165001,25.555000,26.125000,17.589968,16102400
2007-01-29,26.125000,27.344999,26.020000,26.950001,18.145437,11940800
2007-02-05,26.950001,27.020000,26.145000,26.764999,18.020874,8149800
2007-02-12,26.950001,27.375000,26.400000,26.870001,18.091576,8681400
2007-02-19,26.870001,28.084999,26.410000,26.915001,18.121876,9418600
2007-02-26,27.010000,27.084999,25.350000,25.645000,17.266783,8425200
2007-03-05,25.450001,27.150000,24.950001,27.100000,18.246435,7978400
2007-03-12,26.934999,27.485001,26.080000,26.725000,17.993946,6219600
2007-03-19,26.830000,27.900000,26.719999,27.330000,18.401297,7086800
2007-03-26,27.530001,32.980000,27.150000,32.570000,21.929380,21302800
2007-04-02,32.650002,33.470001,32.570000,33.320000,22.434355,5766000
2007-04-09,33.400002,34.750000,32.720001,33.790001,22.750809,8163200
2007-04-16,33.910000,34.500000,32.619999,34.049999,22.925867,8121800
2007-04-23,34.099998,35.849998,33.470001,33.610001,22.629616,10582500
2007-04-30,33.799999,34.060001,32.360001,33.250000,22.387230,9516400
2007-05-07,33.349998,33.869999,32.310001,32.639999,21.976515,9450000
2007-05-14,32.889999,37.000000,32.650002,35.590000,23.962749,14765400
2007-05-21,35.799999,37.869999,34.790001,35.790001,24.097410,18585100
2007-05-28,36.220001,37.799999,35.450001,37.680000,25.369951,10239600
2007-06-04,38.060001,38.389999,36.220001,37.270000,25.093891,8161600
2007-06-11,37.099998,39.869999,36.209999,39.209999,26.400093,8802600
2007-06-18,40.500000,41.169998,38.910000,40.060001,26.972404,11624900
2007-06-25,40.060001,40.520000,38.910000,39.099998,26.326033,10974400
2007-07-02,39.160000,41.790001,39.110001,41.549999,27.975622,6492500
2007-07-09,41.840000,44.000000,41.509998,42.000000,28.278601,11281900
2007-07-16,41.799999,42.650002,40.660000,41.930000,28.231474,6794500
2007-07-23,42.200001,43.049999,40.279999,40.400002,27.201332,8898100
2007-07-30,40.439999,42.200001,37.549999,39.549999,26.629015,14996400
2007-08-06,40.000000,44.759998,39.150002,39.880001,26.851210,14297500
2007-08-13,40.840000,41.799999,37.400002,39.900002,26.864672,11492100
2007-08-20,40.750000,49.820000,40.279999,49.430000,33.281219,19668100
2007-08-27,49.549999,50.520000,46.419998,50.139999,33.759262,12240900
2007-09-03,50.500000,51.990002,47.730000,48.209999,32.459801,7221900
2007-09-10,48.459999,52.000000,47.450001,51.860001,34.917347,10090600
2007-09-17,51.419998,55.970001,51.070000,55.279999,37.220036,13769300
2007-09-24,56.830002,59.230000,54.610001,56.349998,37.940468,18926100
2007-10-01,56.730000,57.840000,54.060001,56.720001,38.189583,11529700
2007-10-08,56.849998,59.450001,56.000000,57.400002,38.647430,9772800
2007-10-15,58.099998,60.150002,56.700001,56.740002,38.203045,10368900
2007-10-22,55.900002,60.799999,53.250000,57.439999,38.674355,12304900
2007-10-29,58.840000,60.500000,55.360001,56.529999,38.061657,10559500
2007-11-05,56.500000,59.259998,51.820000,52.779999,35.536770,11968100
2007-11-12,51.180000,56.930000,50.290001,55.000000,37.031506,14310300
2007-11-19,55.650002,55.650002,47.459999,50.150002,33.766003,21419800
2007-11-26,51.000000,57.619999,50.549999,57.450001,38.681080,17020700
2007-12-03,58.000000,63.770000,56.110001,60.779999,40.923191,17178700
2007-12-10,60.900002,62.040001,56.900002,58.209999,39.192802,29046700
2007-12-17,58.000000,62.759998,57.799999,61.450001,41.374290,16537500
2007-12-24,62.709999,63.680000,61.459999,62.299999,41.946598,6903800
2007-12-31,61.919998,62.540001,56.730000,57.040001,38.405041,10922700
2008-01-07,56.549999,59.090000,50.250000,52.119999,35.092396,28030000
2008-01-14,52.340000,53.980000,49.049999,49.320000,33.207165,20622500
2008-01-21,46.590000,53.520000,44.759998,49.599998,33.395691,19301700
2008-01-28,49.570000,52.959999,48.009998,52.520000,35.361721,12699900
2008-02-04,54.189999,54.990002,47.209999,50.240002,33.826599,12018800
2008-02-11,49.360001,50.549999,44.259998,47.630001,32.069290,23047900
2008-02-18,48.000000,48.130001,44.639999,46.270000,31.153593,11994700
2008-02-25,46.349998,47.849998,42.270000,42.360001,28.520996,13638000
2008-03-03,42.299999,45.500000,40.779999,42.680000,28.736452,14194600
2008-03-10,42.630001,49.250000,42.419998,49.049999,33.025372,16223000
2008-03-17,46.110001,50.189999,44.689999,50.180000,33.786198,21053600
2008-03-24,50.490002,54.750000,50.490002,51.889999,34.937538,16396400
2008-03-31,51.490002,56.919998,50.900002,56.419998,37.987591,14876600
